user-id,start-time,end-time,playground-convo-id,playground-mess-target,playground-mess-description,playground-step1,playground-mess-team,playground-mess-timeline,playground-step2,chat-bubble-1,chat-bubble-2,chat-bubble-3,chat-bubble-4,chat-bubble-free
793150,17:02 - 06Aug25,17:02 - 06Aug25,null,null,null,null,1 BE,2 weeks. Use the previously generated user stories: There are **1 Epics**,Completed,null,null,null,null,null
713384,17:03 - 06Aug25,17:03 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
101422,17:03 - 06Aug25,17:03 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
408941,17:05 - 06Aug25,17:05 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
527901,17:06 - 06Aug25,17:06 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
822852,17:07 - 06Aug25,17:07 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
065861,17:09 - 06Aug25,17:09 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
737282,17:11 - 06Aug25,17:11 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
189680,17:11 - 06Aug25,17:11 - 06Aug25,null,null,null,null,null,null,null,null,null,null,null,null
219599,17:12 - 06Aug25,17:12 - 06Aug25,null,doctor,upload customer's document to system for management,Completed,null,null,null,null,null,null,null,null
801210,17:12 - 06Aug25,17:12 - 06Aug25,null,buyer,login flow,Completed,null,null,null,null,null,null,null,null
407745,17:13 - 06Aug25,17:13 - 06Aug25,null,customer,checkout item on cart,Completed,null,null,null,null,null,null,null,null
511849,17:17 - 06Aug25,17:17 - 06Aug25,test-fix-1,Admin,Manage product inventory,Completed,null,null,null,null,null,null,null,null
464633,17:17 - 06Aug25,17:17 - 06Aug25,test-fix-2,Customer,Online shopping cart,Completed,null,null,null,null,null,null,null,null
641136,18:49 - 07Aug25,18:49 - 07Aug25,direct-test,test-user,test-description,Completed,null,null,null,null,null,null,null,null
